lemma	trans	bel	freq	freq_art	prozent
heilant	Heiland, Retter, Erlöser	übermenschlich (positiv)	329	309	0,94
managi	Menge, Schar	abstrakt	57	35	0,61
folk	Volk	unklar	43	24	0,56
biscof	Bischof, Priester, Hohepriester	menschlich	38	30	0,79
heristo	Erster, Höchster, Fürst	menschlich	38	24	0,63
samanunga	(Ver)sammlung, Schar	abstrakt	21	11	0,52
pharisaeus	Pharisäer	menschlich	18	12	0,67
buohhari	Schriftgelehrter	menschlich	15	12	0,8
brutlouft	Hochzeit	abstrakt	13	8	0,62
seo	See, Meer	abstrakt/konkret	13	7	0,54
